,capitulo_1,capitulo_2,capitulo_3,capitulo_4,capitulo_5,capitulo_6,capitulo_7,capitulo_8,capitulo_9,capitulo_10,capitulo_11,capitulo_12,capitulo_13,capitulo_14,capitulo_15,capitulo_16,capitulo_17,capitulo_18,capitulo_19,capitulo_20
josé_arcadio_buendía,28,22,29,17,11,5,6,0,3,2,2,2,3,1,1,2,3,0,0,1
úrsula,25,36,26,24,20,26,38,34,24,34,18,14,30,13,6,16,24,11,3,3
aureliano_buendía,4,4,10,9,13,6,31,35,44,9,11,17,11,5,8,7,5,3,6,4
amaranta,0,6,7,21,21,20,16,26,12,7,10,8,20,34,0,4,1,7,1,2
josé_arcadio,7,27,10,6,15,10,11,5,1,3,1,2,10,0,8,0,2,9,1,0
rebeca,0,0,15,29,32,12,10,3,1,0,8,0,4,10,0,0,1,0,0,1
pilar,0,8,3,14,1,6,2,5,2,2,0,0,3,4,0,1,2,0,4,4
arcadio,0,0,6,11,7,54,4,2,0,0,0,0,1,1,0,0,1,0,0,1
aureliano_josé,0,0,0,0,2,1,6,24,0,0,0,0,0,2,0,0,0,2,0,0
sofía,0,0,0,0,0,3,1,1,1,4,1,1,5,1,13,3,8,10,0,1
remedios,0,0,2,21,15,2,5,2,3,3,4,4,3,1,0,0,1,0,2,0
josé_arcadio_segundo,0,0,0,0,0,0,1,0,1,19,2,0,6,0,24,2,9,1,0,0
aureliano_segundo,0,0,0,0,0,0,1,1,1,41,26,6,23,25,14,37,28,5,0,0
remedios_la_bella,0,0,0,0,0,0,0,2,6,12,2,20,1,1,0,0,1,2,0,1
petra,0,0,0,0,0,0,0,0,0,13,9,1,9,8,1,12,14,2,0,1
fernanda,0,0,0,0,0,0,0,0,0,4,30,8,23,41,27,24,27,22,5,7
meme,0,0,0,0,0,0,0,0,0,0,1,0,5,72,15,1,2,2,0,0
josé_arcadio_niño,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,1,1,20,2,0
amaranta_úrsula,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,3,15,5,26,30
aureliano_niño,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,35,40,39
aureliano_babilonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
aurelianos,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,2
aureliano_triste,0,0,0,0,0,0,0,0,0,0,15,3,0,2,0,0,0,0,0,0
aureliano_centeno,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
aureliano_serrador,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
aureliano_arcaya,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
aureliano_amador,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
amparo_moscote,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pietro_crespi,0,0,0,14,19,15,4,3,1,1,0,0,2,3,0,0,0,1,0,0
gerineldo,0,0,0,3,3,0,21,6,19,4,1,4,5,2,1,3,0,0,1,1
mauricio,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,0,0,0,0,0
melquíades,21,2,9,15,0,3,0,0,0,7,1,1,2,0,6,1,5,12,4,7
gastón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6
nigromanta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2
